,rmse,bias,std,r2
PR,11.037433948575547,5.3544304095274535,9.651684990647784,0.9173233709285202
MDT,4.935148047832787,2.324191597587828,4.3535984738753655,0.7406822117786347
MDA,8.023925380465089,0.10795296304275735,8.023199154267711,0.5186311069655934
NA,7.047960205585392,-0.8637653688761372,6.99483040874084,0.5363715709993021
PI,8.693988603400243,4.338474193628544,7.534127654033509,0.5656192611801377
MDP,6.547804175064782,1.045431914919998,6.463807827145119,0.15683692928312776
