,rmse,bias,std,r2
PR,12.524179081999792,8.181661061916468,9.482377547109218,0.9206865196715094
MDT,7.082905009622824,5.327953869598678,4.666953067984353,0.6901310669094277
MDA,8.70683689242605,3.2104307671307324,8.093339419595084,0.4995910034277724
NA,7.470435886785781,3.258752280757782,6.722197997026925,0.5571199847853499
PI,11.093181668880309,7.65807262297943,8.025746273086076,0.5037802435501926
MDP,8.153372047207375,4.6104842896707705,6.724649459628479,0.13817910663935776
